95	0
0	95
10	0
0	10
37	12
12	37
37	4
4	37
38	4
4	38
38	16
16	38
12	20
20	12
88	7
7	88
15	11
11	15
13	11
11	13
13	9
9	13
13	5
5	13
13	4
4	13
13	12
12	13
13	22
22	13
53	69
69	53
54	11
11	54
54	39
39	54
54	5
5	54
41	0
0	41
14	23
23	14
14	16
16	14
14	6
6	14
14	8
8	14
14	4
4	14
57	0
0	57
57	4
4	57
42	0
0	42
58	34
34	58
59	12
12	59
84	2
2	84
16	6
6	16
89	0
0	89
86	34
34	86
44	0
0	44
11	9
9	11
0	12
12	0
0	17
17	0
87	7
7	87
45	25
25	45
45	6
6	45
46	12
12	46
39	9
9	39
39	22
22	39
39	20
20	39
39	3
3	39
39	4
4	39
39	11
11	39
106	8
8	106
61	8
8	61
107	12
12	107
47	53
53	47
47	4
4	47
47	7
7	47
79	27
27	79
48	5
5	48
48	3
3	48
48	11
11	48
18	5
5	18
18	11
11	18
64	7
7	64
64	6
6	64
64	39
39	64
19	7
7	19
19	6
6	19
110	97
97	110
65	8
8	65
20	34
34	20
20	58
58	20
98	7
7	98
62	47
47	62
62	7
7	62
21	34
34	21
21	0
0	21
21	17
17	21
22	12
12	22
22	30
30	22
22	25
25	22
22	48
48	22
112	52
52	112
23	19
19	23
23	16
16	23
23	7
7	23
23	6
6	23
35	2
2	35
35	79
79	35
25	4
4	25
25	20
20	25
92	25
25	92
100	8
8	100
26	36
36	26
26	11
11	26
68	27
27	68
68	4
4	68
68	7
7	68
36	39
39	36
36	69
69	36
36	28
28	36
36	9
9	36
36	11
11	36
36	67
67	36
36	6
6	36
27	34
34	27
28	5
5	28
109	25
25	109
52	0
0	52
52	12
12	52
93	11
11	93
70	8
8	70
70	11
11	70
29	22
22	29
29	2
2	29
104	4
4	104
30	6
6	30
90	34
34	90
73	34
34	73
81	0
0	81
81	46
46	81
74	7
7	74
32	7
7	32
50	17
17	50
50	15
15	50
75	3
3	75
33	0
0	33
33	34
34	33
33	2
2	33
33	12
12	33
1	2
2	1
1	10
10	1
1	12
12	1
1	6
6	1
1	9
9	1
1	0
0	1
72	67
67	72
72	22
22	72
2	0
0	2
3	12
12	3
3	4
4	3
3	11
11	3
3	5
5	3
3	9
9	3
60	2
2	60
6	7
7	6
6	2
2	6
6	106
106	6
6	9
9	6
77	22
22	77
77	12
12	77
8	22
22	8
8	6
6	8
8	7
7	8
17	12
12	17
17	22
22	17
17	2
2	17
108	5
5	108
78	9
9	78
