10	2
2	10
10	7
7	10
96	16
16	96
37	21
21	37
80	7
7	80
80	12
12	80
99	11
11	99
31	17
17	31
31	7
7	31
31	12
12	31
97	4
4	97
12	8
8	12
51	20
20	51
49	0
0	49
49	12
12	49
15	2
2	15
15	0
0	15
15	12
12	15
15	8
8	15
13	16
16	13
13	7
7	13
13	2
2	13
13	25
25	13
13	69
69	13
53	4
4	53
53	9
9	53
40	9
9	40
41	44
44	41
14	7
7	14
14	19
19	14
94	7
7	94
94	34
34	94
55	22
22	55
82	7
7	82
56	18
18	56
56	25
25	56
56	0
0	56
57	34
34	57
42	10
10	42
58	7
7	58
5	0
0	5
5	9
9	5
5	69
69	5
5	25
25	5
5	36
36	5
59	34
34	59
16	9
9	16
16	7
7	16
16	0
0	16
85	46
46	85
102	25
25	102
11	2
2	11
11	12
12	11
11	4
4	11
11	19
19	11
0	9
9	0
0	46
46	0
83	11
11	83
105	3
3	105
39	69
69	39
61	22
22	61
34	0
0	34
34	17
17	34
34	12
12	34
34	37
37	34
101	7
7	101
63	2
2	63
18	25
25	18
19	8
8	19
43	37
37	43
43	16
16	43
65	0
0	65
20	60
60	20
20	46
46	20
20	0
0	20
62	16
16	62
21	20
20	21
21	7
7	21
111	100
100	111
22	11
11	22
113	6
6	113
91	62
62	91
23	8
8	23
23	45
45	23
35	12
12	35
66	12
12	66
24	8
8	24
24	6
6	24
25	16
16	25
25	19
19	25
67	62
62	67
100	6
6	100
26	6
6	26
26	9
9	26
26	16
16	26
26	19
19	26
68	92
92	68
36	4
4	36
27	12
12	27
27	6
6	27
27	5
5	27
28	2
2	28
28	4
4	28
28	16
16	28
28	6
6	28
28	7
7	28
28	22
22	28
69	25
25	69
52	35
35	52
29	12
12	29
71	10
10	71
30	5
5	30
30	17
17	30
30	19
19	30
30	0
0	30
30	4
4	30
73	0
0	73
103	25
25	103
32	8
8	32
32	25
25	32
33	4
4	33
33	16
16	33
33	46
46	33
1	4
4	1
1	7
7	1
72	12
12	72
2	34
34	2
3	10
10	3
3	25
25	3
3	22
22	3
3	97
97	3
3	13
13	3
76	55
55	76
76	8
8	76
6	0
0	6
77	0
0	77
8	2
2	8
8	16
16	8
17	20
20	17
108	4
4	108
9	29
29	9
9	22
22	9
9	4
4	9
9	8
8	9
